Dalvik/1.6.0 (Linux; U; Android 4.4.4; M463C Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; M463C Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.1.2; GT-I9300 Build/JZO54K)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; V62C Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; V62C Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; HTC_D626x Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; HTC_D626x Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; HTC_D626x Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.1.2; SHV-E220S Build/JZO54K)
Dalvik/1.6.0 (Linux; U; Android 4.1.2; GT-I8190 Build/JZO54K)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; GT-I9500 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Lenovo A850+ Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; MD298ZP/A Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.1.2; GT-I8552B Build/JZO54K)
Dalvik/1.6.0 (Linux; U; Android 4.1.2; Coolpad 7268 Build/JZO54K)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; CUBOT P9 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.1; U707T Build/JOP40D)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; MS5 Build/MS5)
Dalvik/1.6.0 (Linux; U; Android 4.0.4; ?? Build/IMM76D)
Dalvik/1.6.0 (Linux; U; Android 4.0.4; ?? Build/IMM76D)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; QTab Q300 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.3; Coolpad 9190L Build/JLS36C)
Dalvik/1.6.0 (Linux; U; Android 4.3; Coolpad 9190L Build/JLS36C)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; R831T Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; R833T Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; R833T Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.0.4; U705T Build/IMM76D)
